ID,Title,Authors,Session,Remote
1,Modeling multi-chiplet architectures for TPU co-design,"Kavya Sreedhar, Pritha Doddahosahally Narayanappa, Hung-Ming Hsu, Khai Tran, Hardie Cate, Narges Shahidi, Zhijie Deng, Avinash Lingamneni, Thejasvi Vijayaraj, and Aditya Yanamandra (Google); Sameer Kumar (Meta); Ming Liu and Lluis-Miquel Munguia (Google)",5,false
2,OPERA: Towards an Open Platform for Extensible Robust Accelerators,Federico Nicolás Peccia and Anton Paule (FZI Research Center for Information Technology); Oliver Bringmann (University of Tübingen),2,true
5,From Pragmas to Partners: A Symbiotic Evolution of Agentic High-Level Synthesis,Niansong Zhang and Sunwoo Kim (Cornell University); Shreesha Srinath (Cerebras Systems); Zhiru Zhang (Cornell University),7,false
6,Interactive Compiler Scheduling with Strong Guarantees,"Evan Williams (Unaffiliated); Justin Lubin (UC Berkeley); Rubens Lacouture (Stanford University); Olivia Hsu (Stanford University, Carnegie Mellon University)",6,false
7,TaPaSCo: Towards a Plug-and-Play FPGA Experience,"Torben Kalkhof, David Volz, and Andreas Koch (TU Darmstadt)",5,true
8,A Position on Language Abstraction for Custom Circuit Design,"Yongsheng Qin and Zachary D. Sisco (The Chinese University of Hong Kong, Shenzhen)",5,true
9,Is It a Good Idea to Build an HLS Tool on Top of MLIR? Experience from Building the Dynamatic HLS Compiler,"Jiahui Xu, Emmet Murphy, and Lana Josipović (ETH Zurich)",1,false
11,Hardware Deserves a REPL,Karl Hallsby and Peter Dinda (Northwestern University),2,false
12,Implementing Cache Coherence with Coroutines: A Case Study,Andrew David Alex (University of Washington); Jingtao Xia (UC Santa Barbara); Gus Henry Smith (Southmountain Research); Rachit Nigam (MIT CSAIL); Jonathan Balkind (UC Santa Barbara); Gilbert Bernstein (University of Washington),3,true
13,A Position on Tropical-Time for HLS,Sijie Kong (UC Santa Barbara); Jonathan Balkind (UCSB),7,true
14,Encoding Purely Functional Languages in an RTL-based Compiler,"Amelia Dobis, Gongqi Huang, and Mae Milano (Princeton University)",1,false
15,Towards Choreographic Programming for Hardware Design,Arjun Vedantham and William S. Moses (University of Illinois Urbana-Champaign),4,false
16,Marlin: A Hardware Testing and Simulation Frontend in Rust,Ethan Uppal (Cornell University),2,true
17,Unifying HLS and RTL with Timeline Types,"Jingtao Xia (University of California, Santa Barbara); Ayana Alemayehu (MIT); Sijie Kong and Ben Hardekopf (University of California, Santa Barbara); Rachit Nigam (MIT); Jonathan Balkind (University of California, Santa Barbara)",7,false
18,STAMPS: Fast Synthesis Through Specialized Templates,Kalyan Sriram and Joshua San Miguel (University of Wisconsin - Madison),5,false
19,CaST: Balancing Accelerator Design,"Alborz Jelvani, Richard P. Martin, and Negin Dehghanchaleshtori (Rutgers University)",4,false
23,Portable Dynamic Tiling for Sparse Tensor Accelerators,"Sai Gautham Ravipati, Fredrik Berg Kjolstad, Priyanka Raina, and Olivia Hsu (Stanford University)",6,false
24,Defining Safe Hardware Design,Rachit Nigam (MIT),4,false
25,Check out my sabbatical project,Jonathan Balkind (UC Santa Barbara),1,true
27,STEP: Spatially Threaded Execution Pipeline,"Ang Da Lu, Jiayi Wang, and Ang Li (University of Washington)",6,true
28,Cyclotron: The Streaming Multiprocessor Abstraction is Broken,"Shiv Sundram, Akhilesh Balasingam, Thierry Tambe, Kunle Olukotun, and Fredrik Kjolstad (Stanford University)",6,false
29,Language-based Hardware Communication Safety and Liveness,"Aditya Ranjan Jha, Jason Yu, Umang Mathur, Trevor E. Carlson, and Prateek Saxena (National University of Singapore)",4,false
30,fud2: A Framework for Making Build Tool Orchestrators,Jeremy Ku-Benjet and Adrian Sampson (Cornell University),2,true
31,Prost! Coroutine-based Hardware Description,"Florian Riedl, Tobias Scheipel, and Marcel Baunach (Graz University of Technology)",3,true
